id,nama,url,harga
117,Brica B-Steady XS Black Silver,https://galaxycamera.id/en/brica-b-steady-xs-black-silver.html,"Rp1.499.000,00"
118,Fujifilm Instax Share SP-3 White,https://galaxycamera.id/en/fujifilm-instax-square-sp-3-white.html,"Rp2.899.000,00"
119,Fujifilm Instax Share SP-3 Black,https://galaxycamera.id/en/fujifilm-instax-square-sp-3-black.html,"Rp2.899.000,00"
120,Fujifilm Instax Mini Link Dusky Pink,https://galaxycamera.id/en/fujifilm-instax-mini-link-dusky-pink.html,"Rp1.749.000,00"
121,Fujifilm Instax Mini Link Dark Denim,https://galaxycamera.id/en/fujifilm-instax-mini-link-dark-denim.html,"Rp1.749.000,00"
122,Fujifilm Instax Mini Link Ash White,https://galaxycamera.id/en/fujifilm-instax-mini-link-ash-white.html,"Rp1.749.000,00"
123,Canon PowerShot G5 X Mark II,https://galaxycamera.id/en/canon-powershot-g5-x-mark-ii.html,"Rp12.690.000,00"
124,Canon EOS RP Kit RF 24-105mm F/4-7.1 IS STM,https://galaxycamera.id/en/canon-eos-rp-kit-24-105mm.html,"Rp27.965.000,00"
125,Canon EOS R5 Kit 24-105mm F/4 L IS USM,https://galaxycamera.id/en/canon-eos-r5-kit-24-105mm-f-4-l-is-usm.html,"Rp82.200.000,00"
126,Canon EOS R5 Body,https://galaxycamera.id/en/canon-eos-r5-body.html,"Rp64.850.000,00"
127,Canon EOS R Kit RF 24-105mm F/4-7.1 IS STM,https://galaxycamera.id/en/canon-eos-r-kit-rf-24-105mm.html,"Rp43.235.000,00"
128,Canon EOS M6 Mark II Kit 18-150mm F/3.5-6.3 IS STM Silver,https://galaxycamera.id/en/canon-eos-m6-mark-ii-kit-18-150mm-silver.html,"Rp18.770.000,00"
129,Canon EOS M6 Mark II Kit 18-150mm F/3.5-6.3 IS STM Black,https://galaxycamera.id/en/canon-eos-m6-mark-ii-kit-18-150mm-black.html,"Rp18.770.000,00"
130,Hollyland Mars 400s SDI/HDMI Wireless Video Transmission System,https://galaxycamera.id/en/hollyland-mars-400s-sdi-hdmi-wireless-video-transmission-system.html,"Rp8.000.000,00"
131,Hollyland Mars 400 Dual HDMI Wireless Video Transmission System,https://galaxycamera.id/en/hollyland-mars-400-dual-hdmi-wireless-video-transmission-system.html,"Rp7.000.000,00"
132,Boya BY-BM3032 Directional On-camera Microphone,https://galaxycamera.id/en/boya-by-bm3032-directional-on-camera-microphone.html,"Rp1.550.000,00"
133,Feiyu Vimble One,https://galaxycamera.id/en/feiyu-vimble-one.html,"Rp599.000,00"
